model,exercise,target,seed,criterion,target_bit,accuracy,lop,global_opposing_support,global_matching_support,global_opposing_rate,target_cardinality,total_hamming1_support,is_hand_criterion
transformer,cpr,0000001000001,42,9,0,0.0,0.0,183.0,904.0,0.16835326586936522,2.0,44.0,False
transformer,cpr,0000001000001,42,10,0,0.0,0.0,122.0,965.0,0.11223551057957681,2.0,44.0,False
transformer,cpr,0000001000001,42,11,0,1.0,0.0,91.0,996.0,0.08371665133394664,2.0,44.0,False
transformer,cpr,0000001000001,42,12,1,0.0,22.0,998.0,89.0,0.9181232750689973,2.0,44.0,False
transformer,cpr,0000001000001,7,0,0,1.0,0.0,185.0,902.0,0.1701931922723091,2.0,44.0,True
transformer,cpr,0000001000001,7,1,0,1.0,0.0,90.0,997.0,0.0827966881324747,2.0,44.0,True
transformer,cpr,0000001000001,7,2,0,1.0,0.0,98.0,989.0,0.09015639374425023,2.0,44.0,True
transformer,cpr,0000001000001,7,3,0,1.0,0.0,171.0,916.0,0.15731370745170192,2.0,44.0,False
transformer,cpr,0000001000001,7,4,0,1.0,0.0,146.0,941.0,0.1343146274149034,2.0,44.0,False
transformer,cpr,0000001000001,7,5,0,1.0,0.0,128.0,959.0,0.11775528978840846,2.0,44.0,False
transformer,cpr,0000001000001,7,6,1,1.0,22.0,956.0,131.0,0.8794848206071757,2.0,44.0,False
transformer,cpr,0000001000001,7,7,0,1.0,0.0,169.0,918.0,0.15547378104875806,2.0,44.0,False
transformer,cpr,0000001000001,7,8,0,1.0,0.0,165.0,922.0,0.15179392824287027,2.0,44.0,False
transformer,cpr,0000001000001,7,9,0,0.0,0.0,183.0,904.0,0.16835326586936522,2.0,44.0,False
transformer,cpr,0000001000001,7,10,0,0.0,0.0,122.0,965.0,0.11223551057957681,2.0,44.0,False
transformer,cpr,0000001000001,7,11,0,1.0,0.0,91.0,996.0,0.08371665133394664,2.0,44.0,False
transformer,cpr,0000001000001,7,12,1,0.0,22.0,998.0,89.0,0.9181232750689973,2.0,44.0,False
transformer,cpr,0000001000010,123,0,0,1.0,0.0,195.0,885.0,0.18055555555555555,2.0,64.0,True
transformer,cpr,0000001000010,123,1,0,1.0,0.0,85.0,995.0,0.0787037037037037,2.0,64.0,True
transformer,cpr,0000001000010,123,2,0,1.0,0.0,83.0,997.0,0.07685185185185185,2.0,64.0,True
transformer,cpr,0000001000010,123,3,0,1.0,0.0,167.0,913.0,0.15462962962962962,2.0,64.0,False
transformer,cpr,0000001000010,123,4,0,1.0,0.0,151.0,929.0,0.1398148148148148,2.0,64.0,False
transformer,cpr,0000001000010,123,5,0,0.0,0.0,172.0,908.0,0.15925925925925927,2.0,64.0,False
transformer,cpr,0000001000010,123,6,1,1.0,22.0,950.0,130.0,0.8796296296296297,2.0,64.0,False
transformer,cpr,0000001000010,123,7,0,1.0,0.0,136.0,944.0,0.1259259259259259,2.0,64.0,False
transformer,cpr,0000001000010,123,8,0,1.0,0.0,176.0,904.0,0.16296296296296298,2.0,64.0,False
transformer,cpr,0000001000010,123,9,0,0.5,0.0,185.0,895.0,0.1712962962962963,2.0,64.0,False
transformer,cpr,0000001000010,123,10,0,0.5,0.0,130.0,950.0,0.12037037037037036,2.0,64.0,False
transformer,cpr,0000001000010,123,11,1,0.0,42.0,1004.0,76.0,0.9296296296296296,2.0,64.0,False
transformer,cpr,0000001000010,123,12,0,1.0,0.0,114.0,966.0,0.10555555555555556,2.0,64.0,False
transformer,cpr,0000001000010,42,0,0,0.8,0.0,195.0,885.0,0.18055555555555555,2.0,64.0,True
transformer,cpr,0000001000010,42,1,0,1.0,0.0,85.0,995.0,0.0787037037037037,2.0,64.0,True
transformer,cpr,0000001000010,42,2,0,1.0,0.0,83.0,997.0,0.07685185185185185,2.0,64.0,True
transformer,cpr,0000001000010,42,3,0,1.0,0.0,167.0,913.0,0.15462962962962962,2.0,64.0,False
transformer,cpr,0000001000010,42,4,0,1.0,0.0,151.0,929.0,0.1398148148148148,2.0,64.0,False
transformer,cpr,0000001000010,42,5,0,0.8,0.0,172.0,908.0,0.15925925925925927,2.0,64.0,False
transformer,cpr,0000001000010,42,6,1,1.0,22.0,950.0,130.0,0.8796296296296297,2.0,64.0,False
transformer,cpr,0000001000010,42,7,0,1.0,0.0,136.0,944.0,0.1259259259259259,2.0,64.0,False
transformer,cpr,0000001000010,42,8,0,1.0,0.0,176.0,904.0,0.16296296296296298,2.0,64.0,False
transformer,cpr,0000001000010,42,9,0,0.6,0.0,185.0,895.0,0.1712962962962963,2.0,64.0,False
transformer,cpr,0000001000010,42,10,0,0.2,0.0,130.0,950.0,0.12037037037037036,2.0,64.0,False
transformer,cpr,0000001000010,42,11,1,0.0,42.0,1004.0,76.0,0.9296296296296296,2.0,64.0,False
transformer,cpr,0000001000010,42,12,0,1.0,0.0,114.0,966.0,0.10555555555555556,2.0,64.0,False
transformer,cpr,0000001000010,7,0,0,1.0,0.0,195.0,885.0,0.18055555555555555,2.0,64.0,True
transformer,cpr,0000001000010,7,1,0,1.0,0.0,85.0,995.0,0.0787037037037037,2.0,64.0,True
transformer,cpr,0000001000010,7,2,0,1.0,0.0,83.0,997.0,0.07685185185185185,2.0,64.0,True
transformer,cpr,0000001000010,7,3,0,1.0,0.0,167.0,913.0,0.15462962962962962,2.0,64.0,False
transformer,cpr,0000001000010,7,4,0,1.0,0.0,151.0,929.0,0.1398148148148148,2.0,64.0,False
transformer,cpr,0000001000010,7,5,0,1.0,0.0,172.0,908.0,0.15925925925925927,2.0,64.0,False
transformer,cpr,0000001000010,7,6,1,1.0,22.0,950.0,130.0,0.8796296296296297,2.0,64.0,False
transformer,cpr,0000001000010,7,7,0,1.0,0.0,136.0,944.0,0.1259259259259259,2.0,64.0,False
transformer,cpr,0000001000010,7,8,0,1.0,0.0,176.0,904.0,0.16296296296296298,2.0,64.0,False
transformer,cpr,0000001000010,7,9,0,0.4,0.0,185.0,895.0,0.1712962962962963,2.0,64.0,False
transformer,cpr,0000001000010,7,10,0,0.8,0.0,130.0,950.0,0.12037037037037036,2.0,64.0,False
transformer,cpr,0000001000010,7,11,1,0.0,42.0,1004.0,76.0,0.9296296296296296,2.0,64.0,False
transformer,cpr,0000001000010,7,12,0,1.0,0.0,114.0,966.0,0.10555555555555556,2.0,64.0,False
transformer,cpr,0000001000100,123,0,0,1.0,0.0,195.0,885.0,0.18055555555555555,2.0,84.0,True
transformer,cpr,0000001000100,123,1,0,1.0,0.0,85.0,995.0,0.0787037037037037,2.0,84.0,True
transformer,cpr,0000001000100,123,2,0,1.0,0.0,83.0,997.0,0.07685185185185185,2.0,84.0,True
transformer,cpr,0000001000100,123,3,0,1.0,0.0,167.0,913.0,0.15462962962962962,2.0,84.0,False
transformer,cpr,0000001000100,123,4,0,1.0,0.0,151.0,929.0,0.1398148148148148,2.0,84.0,False
transformer,cpr,0000001000100,123,5,0,1.0,0.0,172.0,908.0,0.15925925925925927,2.0,84.0,False
transformer,cpr,0000001000100,123,6,1,1.0,42.0,950.0,130.0,0.8796296296296297,2.0,84.0,False
transformer,cpr,0000001000100,123,7,0,1.0,0.0,136.0,944.0,0.1259259259259259,2.0,84.0,False
transformer,cpr,0000001000100,123,8,0,1.0,0.0,176.0,904.0,0.16296296296296298,2.0,84.0,False
transformer,cpr,0000001000100,123,9,0,0.8,0.0,185.0,895.0,0.1712962962962963,2.0,84.0,False
transformer,cpr,0000001000100,123,10,1,0.0,42.0,962.0,118.0,0.8907407407407407,2.0,84.0,False
transformer,cpr,0000001000100,123,11,0,0.6,0.0,88.0,992.0,0.08148148148148149,2.0,84.0,False
transformer,cpr,0000001000100,123,12,0,1.0,0.0,114.0,966.0,0.10555555555555556,2.0,84.0,False
transformer,cpr,0000001000100,42,0,0,1.0,0.0,195.0,885.0,0.18055555555555555,2.0,84.0,True
transformer,cpr,0000001000100,42,1,0,1.0,0.0,85.0,995.0,0.0787037037037037,2.0,84.0,True
transformer,cpr,0000001000100,42,2,0,1.0,0.0,83.0,997.0,0.07685185185185185,2.0,84.0,True
transformer,cpr,0000001000100,42,3,0,1.0,0.0,167.0,913.0,0.15462962962962962,2.0,84.0,False
transformer,cpr,0000001000100,42,4,0,1.0,0.0,151.0,929.0,0.1398148148148148,2.0,84.0,False
transformer,cpr,0000001000100,42,5,0,0.6,0.0,172.0,908.0,0.15925925925925927,2.0,84.0,False
transformer,cpr,0000001000100,42,6,1,1.0,42.0,950.0,130.0,0.8796296296296297,2.0,84.0,False
transformer,cpr,0000001000100,42,7,0,1.0,0.0,136.0,944.0,0.1259259259259259,2.0,84.0,False
transformer,cpr,0000001000100,42,8,0,1.0,0.0,176.0,904.0,0.16296296296296298,2.0,84.0,False
transformer,cpr,0000001000100,42,9,0,0.2,0.0,185.0,895.0,0.1712962962962963,2.0,84.0,False
transformer,cpr,0000001000100,42,10,1,0.0,42.0,962.0,118.0,0.8907407407407407,2.0,84.0,False
transformer,cpr,0000001000100,42,11,0,0.2,0.0,88.0,992.0,0.08148148148148149,2.0,84.0,False
transformer,cpr,0000001000100,42,12,0,1.0,0.0,114.0,966.0,0.10555555555555556,2.0,84.0,False
transformer,cpr,0000001000100,7,0,0,1.0,0.0,195.0,885.0,0.18055555555555555,2.0,84.0,True
transformer,cpr,0000001000100,7,1,0,1.0,0.0,85.0,995.0,0.0787037037037037,2.0,84.0,True
transformer,cpr,0000001000100,7,2,0,1.0,0.0,83.0,997.0,0.07685185185185185,2.0,84.0,True
transformer,cpr,0000001000100,7,3,0,1.0,0.0,167.0,913.0,0.15462962962962962,2.0,84.0,False
transformer,cpr,0000001000100,7,4,0,1.0,0.0,151.0,929.0,0.1398148148148148,2.0,84.0,False
transformer,cpr,0000001000100,7,5,0,1.0,0.0,172.0,908.0,0.15925925925925927,2.0,84.0,False
transformer,cpr,0000001000100,7,6,1,1.0,42.0,950.0,130.0,0.8796296296296297,2.0,84.0,False
transformer,cpr,0000001000100,7,7,0,1.0,0.0,136.0,944.0,0.1259259259259259,2.0,84.0,False
transformer,cpr,0000001000100,7,8,0,1.0,0.0,176.0,904.0,0.16296296296296298,2.0,84.0,False
transformer,cpr,0000001000100,7,9,0,1.0,0.0,185.0,895.0,0.1712962962962963,2.0,84.0,False
transformer,cpr,0000001000100,7,10,1,0.0,42.0,962.0,118.0,0.8907407407407407,2.0,84.0,False
transformer,cpr,0000001000100,7,11,0,1.0,0.0,88.0,992.0,0.08148148148148149,2.0,84.0,False
transformer,cpr,0000001000100,7,12,0,1.0,0.0,114.0,966.0,0.10555555555555556,2.0,84.0,False
transformer,cpr,0000001001000,123,0,0,1.0,0.0,195.0,885.0,0.18055555555555555,2.0,64.0,True
transformer,cpr,0000001001000,123,1,0,1.0,0.0,85.0,995.0,0.0787037037037037,2.0,64.0,True
transformer,cpr,0000001001000,123,2,0,1.0,0.0,83.0,997.0,0.07685185185185185,2.0,64.0,True
transformer,cpr,0000001001000,123,3,0,1.0,0.0,167.0,913.0,0.15462962962962962,2.0,64.0,False
transformer,cpr,0000001001000,123,4,0,1.0,0.0,151.0,929.0,0.1398148148148148,2.0,64.0,False
transformer,cpr,0000001001000,123,5,0,1.0,0.0,172.0,908.0,0.15925925925925927,2.0,64.0,False
transformer,cpr,0000001001000,123,6,1,1.0,22.0,950.0,130.0,0.8796296296296297,2.0,64.0,False
transformer,cpr,0000001001000,123,7,0,1.0,0.0,136.0,944.0,0.1259259259259259,2.0,64.0,False
transformer,cpr,0000001001000,123,8,0,1.0,0.0,176.0,904.0,0.16296296296296298,2.0,64.0,False
transformer,cpr,0000001001000,123,9,1,0.0,42.0,907.0,173.0,0.8398148148148148,2.0,64.0,False
transformer,cpr,0000001001000,123,10,0,0.0,0.0,130.0,950.0,0.12037037037037036,2.0,64.0,False
transformer,cpr,0000001001000,123,11,0,1.0,0.0,88.0,992.0,0.08148148148148149,2.0,64.0,False
transformer,cpr,0000001001000,123,12,0,0.5,0.0,114.0,966.0,0.10555555555555556,2.0,64.0,False
transformer,cpr,0000001001000,42,0,0,1.0,0.0,195.0,885.0,0.18055555555555555,2.0,64.0,True
transformer,cpr,0000001001000,42,1,0,1.0,0.0,85.0,995.0,0.0787037037037037,2.0,64.0,True
transformer,cpr,0000001001000,42,2,0,1.0,0.0,83.0,997.0,0.07685185185185185,2.0,64.0,True
transformer,cpr,0000001001000,42,3,0,1.0,0.0,167.0,913.0,0.15462962962962962,2.0,64.0,False
transformer,cpr,0000001001000,42,4,0,1.0,0.0,151.0,929.0,0.1398148148148148,2.0,64.0,False
transformer,cpr,0000001001000,42,5,0,0.4,0.0,172.0,908.0,0.15925925925925927,2.0,64.0,False
transformer,cpr,0000001001000,42,6,1,1.0,22.0,950.0,130.0,0.8796296296296297,2.0,64.0,False
transformer,cpr,0000001001000,42,7,0,1.0,0.0,136.0,944.0,0.1259259259259259,2.0,64.0,False
transformer,cpr,0000001001000,42,8,0,1.0,0.0,176.0,904.0,0.16296296296296298,2.0,64.0,False
transformer,cpr,0000001001000,42,9,1,0.0,42.0,907.0,173.0,0.8398148148148148,2.0,64.0,False
transformer,cpr,0000001001000,42,10,0,0.0,0.0,130.0,950.0,0.12037037037037036,2.0,64.0,False
transformer,cpr,0000001001000,42,11,0,1.0,0.0,88.0,992.0,0.08148148148148149,2.0,64.0,False
transformer,cpr,0000001001000,42,12,0,1.0,0.0,114.0,966.0,0.10555555555555556,2.0,64.0,False
transformer,cpr,0000001001000,7,0,0,1.0,0.0,195.0,885.0,0.18055555555555555,2.0,64.0,True
transformer,cpr,0000001001000,7,1,0,0.8,0.0,85.0,995.0,0.0787037037037037,2.0,64.0,True
transformer,cpr,0000001001000,7,2,0,1.0,0.0,83.0,997.0,0.07685185185185185,2.0,64.0,True
transformer,cpr,0000001001000,7,3,0,1.0,0.0,167.0,913.0,0.15462962962962962,2.0,64.0,False
transformer,cpr,0000001001000,7,4,0,1.0,0.0,151.0,929.0,0.1398148148148148,2.0,64.0,False
transformer,cpr,0000001001000,7,5,0,0.4,0.0,172.0,908.0,0.15925925925925927,2.0,64.0,False
transformer,cpr,0000001001000,7,6,1,1.0,22.0,950.0,130.0,0.8796296296296297,2.0,64.0,False
transformer,cpr,0000001001000,7,7,0,1.0,0.0,136.0,944.0,0.1259259259259259,2.0,64.0,False
transformer,cpr,0000001001000,7,8,0,1.0,0.0,176.0,904.0,0.16296296296296298,2.0,64.0,False
transformer,cpr,0000001001000,7,9,1,0.0,42.0,907.0,173.0,0.8398148148148148,2.0,64.0,False
transformer,cpr,0000001001000,7,10,0,0.2,0.0,130.0,950.0,0.12037037037037036,2.0,64.0,False
transformer,cpr,0000001001000,7,11,0,0.4,0.0,88.0,992.0,0.08148148148148149,2.0,64.0,False
transformer,cpr,0000001001000,7,12,0,1.0,0.0,114.0,966.0,0.10555555555555556,2.0,64.0,False
transformer,cpr,0000001010000,123,0,0,1.0,0.0,195.0,885.0,0.18055555555555555,2.0,92.0,True
transformer,cpr,0000001010000,123,1,0,0.8,0.0,85.0,995.0,0.0787037037037037,2.0,92.0,True
transformer,cpr,0000001010000,123,2,0,1.0,0.0,83.0,997.0,0.07685185185185185,2.0,92.0,True
transformer,cpr,0000001010000,123,3,0,1.0,0.0,167.0,913.0,0.15462962962962962,2.0,92.0,False
transformer,cpr,0000001010000,123,4,0,1.0,8.0,151.0,929.0,0.1398148148148148,2.0,92.0,False
transformer,cpr,0000001010000,123,5,0,0.4,0.0,172.0,908.0,0.15925925925925927,2.0,92.0,False
transformer,cpr,0000001010000,123,6,1,1.0,42.0,950.0,130.0,0.8796296296296297,2.0,92.0,False
transformer,cpr,0000001010000,123,7,0,1.0,0.0,136.0,944.0,0.1259259259259259,2.0,92.0,False
transformer,cpr,0000001010000,123,8,1,0.4,42.0,911.0,169.0,0.8435185185185186,2.0,92.0,False
transformer,cpr,0000001010000,123,9,0,0.4,0.0,180.0,900.0,0.16666666666666666,2.0,92.0,False
transformer,cpr,0000001010000,123,10,0,0.8,0.0,130.0,950.0,0.12037037037037036,2.0,92.0,False
transformer,cpr,0000001010000,123,11,0,0.8,0.0,88.0,992.0,0.08148148148148149,2.0,92.0,False
transformer,cpr,0000001010000,123,12,0,0.8,0.0,114.0,966.0,0.10555555555555556,2.0,92.0,False
transformer,cpr,0000001010000,42,0,0,1.0,0.0,195.0,885.0,0.18055555555555555,2.0,92.0,True
transformer,cpr,0000001010000,42,1,0,1.0,0.0,85.0,995.0,0.0787037037037037,2.0,92.0,True
transformer,cpr,0000001010000,42,2,0,1.0,0.0,83.0,997.0,0.07685185185185185,2.0,92.0,True
transformer,cpr,0000001010000,42,3,0,1.0,0.0,167.0,913.0,0.15462962962962962,2.0,92.0,False
transformer,cpr,0000001010000,42,4,0,1.0,8.0,151.0,929.0,0.1398148148148148,2.0,92.0,False
transformer,cpr,0000001010000,42,5,0,0.2,0.0,172.0,908.0,0.15925925925925927,2.0,92.0,False
transformer,cpr,0000001010000,42,6,1,1.0,42.0,950.0,130.0,0.8796296296296297,2.0,92.0,False
transformer,cpr,0000001010000,42,7,0,1.0,0.0,136.0,944.0,0.1259259259259259,2.0,92.0,False
transformer,cpr,0000001010000,42,8,1,0.0,42.0,911.0,169.0,0.8435185185185186,2.0,92.0,False
transformer,cpr,0000001010000,42,9,0,0.8,0.0,180.0,900.0,0.16666666666666666,2.0,92.0,False
transformer,cpr,0000001010000,42,10,0,1.0,0.0,130.0,950.0,0.12037037037037036,2.0,92.0,False
transformer,cpr,0000001010000,42,11,0,1.0,0.0,88.0,992.0,0.08148148148148149,2.0,92.0,False
transformer,cpr,0000001010000,42,12,0,1.0,0.0,114.0,966.0,0.10555555555555556,2.0,92.0,False
transformer,cpr,0000001010000,7,0,0,1.0,0.0,195.0,885.0,0.18055555555555555,2.0,92.0,True
transformer,cpr,0000001010000,7,1,0,1.0,0.0,85.0,995.0,0.0787037037037037,2.0,92.0,True
transformer,cpr,0000001010000,7,2,0,1.0,0.0,83.0,997.0,0.07685185185185185,2.0,92.0,True
transformer,cpr,0000001010000,7,3,0,1.0,0.0,167.0,913.0,0.15462962962962962,2.0,92.0,False
transformer,cpr,0000001010000,7,4,0,1.0,8.0,151.0,929.0,0.1398148148148148,2.0,92.0,False
transformer,cpr,0000001010000,7,5,0,0.5,0.0,172.0,908.0,0.15925925925925927,2.0,92.0,False
transformer,cpr,0000001010000,7,6,1,1.0,42.0,950.0,130.0,0.8796296296296297,2.0,92.0,False
transformer,cpr,0000001010000,7,7,0,1.0,0.0,136.0,944.0,0.1259259259259259,2.0,92.0,False
transformer,cpr,0000001010000,7,8,1,0.0,42.0,911.0,169.0,0.8435185185185186,2.0,92.0,False
transformer,cpr,0000001010000,7,9,0,1.0,0.0,180.0,900.0,0.16666666666666666,2.0,92.0,False
transformer,cpr,0000001010000,7,10,0,1.0,0.0,130.0,950.0,0.12037037037037036,2.0,92.0,False
transformer,cpr,0000001010000,7,11,0,1.0,0.0,88.0,992.0,0.08148148148148149,2.0,92.0,False
transformer,cpr,0000001010000,7,12,0,1.0,0.0,114.0,966.0,0.10555555555555556,2.0,92.0,False
transformer,cpr,0000010000000,123,0,0,0.7,7.0,195.0,856.0,0.18553758325404376,1.0,145.0,True
transformer,cpr,0000010000000,123,1,0,0.65,12.0,92.0,959.0,0.08753568030447194,1.0,145.0,True
transformer,cpr,0000010000000,123,2,0,1.0,10.0,95.0,956.0,0.09039010466222645,1.0,145.0,True
transformer,cpr,0000010000000,123,3,0,1.0,12.0,180.0,871.0,0.17126546146527116,1.0,145.0,False
transformer,cpr,0000010000000,123,4,0,0.95,0.0,151.0,900.0,0.14367269267364416,1.0,145.0,False
transformer,cpr,0000010000000,123,5,1,0.95,42.0,908.0,143.0,0.8639391056137012,1.0,145.0,False
transformer,cpr,0000010000000,123,6,0,1.0,12.0,138.0,913.0,0.1313035204567079,1.0,145.0,False
transformer,cpr,0000010000000,123,7,0,1.0,12.0,137.0,914.0,0.13035204567078973,1.0,145.0,False
transformer,cpr,0000010000000,123,8,0,1.0,12.0,170.0,881.0,0.16175071360608945,1.0,145.0,False
transformer,cpr,0000010000000,123,9,0,0.15,7.0,163.0,888.0,0.15509039010466222,1.0,145.0,False
transformer,cpr,0000010000000,123,10,0,0.15,12.0,115.0,936.0,0.10941960038058991,1.0,145.0,False
transformer,cpr,0000010000000,123,11,0,0.85,7.0,99.0,952.0,0.09419600380589914,1.0,145.0,False
transformer,cpr,0000010000000,123,12,0,0.85,0.0,102.0,949.0,0.09705042816365367,1.0,145.0,False
transformer,cpr,0000010000000,42,0,0,0.45,7.0,195.0,856.0,0.18553758325404376,1.0,145.0,True
transformer,cpr,0000010000000,42,1,0,0.8,12.0,92.0,959.0,0.08753568030447194,1.0,145.0,True
transformer,cpr,0000010000000,42,2,0,1.0,10.0,95.0,956.0,0.09039010466222645,1.0,145.0,True
transformer,cpr,0000010000000,42,3,0,1.0,12.0,180.0,871.0,0.17126546146527116,1.0,145.0,False
transformer,cpr,0000010000000,42,4,0,1.0,0.0,151.0,900.0,0.14367269267364416,1.0,145.0,False
transformer,cpr,0000010000000,42,5,1,0.35,42.0,908.0,143.0,0.8639391056137012,1.0,145.0,False
transformer,cpr,0000010000000,42,6,0,1.0,12.0,138.0,913.0,0.1313035204567079,1.0,145.0,False
transformer,cpr,0000010000000,42,7,0,1.0,12.0,137.0,914.0,0.13035204567078973,1.0,145.0,False
transformer,cpr,0000010000000,42,8,0,0.3,12.0,170.0,881.0,0.16175071360608945,1.0,145.0,False
transformer,cpr,0000010000000,42,9,0,0.45,7.0,163.0,888.0,0.15509039010466222,1.0,145.0,False
transformer,cpr,0000010000000,42,10,0,0.95,12.0,115.0,936.0,0.10941960038058991,1.0,145.0,False
transformer,cpr,0000010000000,42,11,0,0.85,7.0,99.0,952.0,0.09419600380589914,1.0,145.0,False
transformer,cpr,0000010000000,42,12,0,1.0,0.0,102.0,949.0,0.09705042816365367,1.0,145.0,False
transformer,cpr,0000010000000,7,0,0,1.0,7.0,195.0,856.0,0.18553758325404376,1.0,145.0,True
transformer,cpr,0000010000000,7,1,0,0.0,12.0,92.0,959.0,0.08753568030447194,1.0,145.0,True
transformer,cpr,0000010000000,7,2,0,1.0,10.0,95.0,956.0,0.09039010466222645,1.0,145.0,True
transformer,cpr,0000010000000,7,3,0,1.0,12.0,180.0,871.0,0.17126546146527116,1.0,145.0,False
transformer,cpr,0000010000000,7,4,0,1.0,0.0,151.0,900.0,0.14367269267364416,1.0,145.0,False
transformer,cpr,0000010000000,7,5,1,1.0,42.0,908.0,143.0,0.8639391056137012,1.0,145.0,False
transformer,cpr,0000010000000,7,6,0,1.0,12.0,138.0,913.0,0.1313035204567079,1.0,145.0,False
transformer,cpr,0000010000000,7,7,0,1.0,12.0,137.0,914.0,0.13035204567078973,1.0,145.0,False
transformer,cpr,0000010000000,7,8,0,0.5,12.0,170.0,881.0,0.16175071360608945,1.0,145.0,False
transformer,cpr,0000010000000,7,9,0,1.0,7.0,163.0,888.0,0.15509039010466222,1.0,145.0,False
transformer,cpr,0000010000000,7,10,0,1.0,12.0,115.0,936.0,0.10941960038058991,1.0,145.0,False
transformer,cpr,0000010000000,7,11,0,1.0,7.0,99.0,952.0,0.09419600380589914,1.0,145.0,False
transformer,cpr,0000010000000,7,12,0,1.0,0.0,102.0,949.0,0.09705042816365367,1.0,145.0,False
transformer,cpr,0000010000010,123,0,0,1.0,0.0,195.0,885.0,0.18055555555555555,2.0,64.0,True
transformer,cpr,0000010000010,123,1,0,0.8,0.0,85.0,995.0,0.0787037037037037,2.0,64.0,True
transformer,cpr,0000010000010,123,2,0,1.0,0.0,83.0,997.0,0.07685185185185185,2.0,64.0,True
transformer,cpr,0000010000010,123,3,0,1.0,0.0,167.0,913.0,0.15462962962962962,2.0,64.0,False
transformer,cpr,0000010000010,123,4,0,1.0,0.0,151.0,929.0,0.1398148148148148,2.0,64.0,False
transformer,cpr,0000010000010,123,5,1,1.0,22.0,915.0,165.0,0.8472222222222222,2.0,64.0,False
transformer,cpr,0000010000010,123,6,0,1.0,0.0,137.0,943.0,0.12685185185185185,2.0,64.0,False
transformer,cpr,0000010000010,123,7,0,1.0,0.0,136.0,944.0,0.1259259259259259,2.0,64.0,False
transformer,cpr,0000010000010,123,8,0,1.0,0.0,176.0,904.0,0.16296296296296298,2.0,64.0,False
transformer,cpr,0000010000010,123,9,0,1.0,0.0,180.0,900.0,0.16666666666666666,2.0,64.0,False
transformer,cpr,0000010000010,123,10,0,0.4,0.0,130.0,950.0,0.12037037037037036,2.0,64.0,False
transformer,cpr,0000010000010,123,11,1,0.0,42.0,999.0,81.0,0.925,2.0,64.0,False
transformer,cpr,0000010000010,123,12,0,0.8,0.0,114.0,966.0,0.10555555555555556,2.0,64.0,False
transformer,cpr,0000010000010,42,0,0,1.0,0.0,195.0,885.0,0.18055555555555555,2.0,64.0,True
transformer,cpr,0000010000010,42,1,0,1.0,0.0,85.0,995.0,0.0787037037037037,2.0,64.0,True
transformer,cpr,0000010000010,42,2,0,1.0,0.0,83.0,997.0,0.07685185185185185,2.0,64.0,True
transformer,cpr,0000010000010,42,3,0,1.0,0.0,167.0,913.0,0.15462962962962962,2.0,64.0,False
transformer,cpr,0000010000010,42,4,0,1.0,0.0,151.0,929.0,0.1398148148148148,2.0,64.0,False
transformer,cpr,0000010000010,42,5,1,1.0,22.0,915.0,165.0,0.8472222222222222,2.0,64.0,False
transformer,cpr,0000010000010,42,6,0,1.0,0.0,137.0,943.0,0.12685185185185185,2.0,64.0,False
transformer,cpr,0000010000010,42,7,0,1.0,0.0,136.0,944.0,0.1259259259259259,2.0,64.0,False
transformer,cpr,0000010000010,42,8,0,1.0,0.0,176.0,904.0,0.16296296296296298,2.0,64.0,False
transformer,cpr,0000010000010,42,9,0,0.5,0.0,180.0,900.0,0.16666666666666666,2.0,64.0,False
transformer,cpr,0000010000010,42,10,0,0.0,0.0,130.0,950.0,0.12037037037037036,2.0,64.0,False
transformer,cpr,0000010000010,42,11,1,0.0,42.0,999.0,81.0,0.925,2.0,64.0,False
transformer,cpr,0000010000010,42,12,0,1.0,0.0,114.0,966.0,0.10555555555555556,2.0,64.0,False
transformer,cpr,0000010000010,7,0,0,1.0,0.0,195.0,885.0,0.18055555555555555,2.0,64.0,True
transformer,cpr,0000010000010,7,1,0,1.0,0.0,85.0,995.0,0.0787037037037037,2.0,64.0,True
transformer,cpr,0000010000010,7,2,0,1.0,0.0,83.0,997.0,0.07685185185185185,2.0,64.0,True
transformer,cpr,0000010000010,7,3,0,1.0,0.0,167.0,913.0,0.15462962962962962,2.0,64.0,False
transformer,cpr,0000010000010,7,4,0,1.0,0.0,151.0,929.0,0.1398148148148148,2.0,64.0,False
transformer,cpr,0000010000010,7,5,1,1.0,22.0,915.0,165.0,0.8472222222222222,2.0,64.0,False
transformer,cpr,0000010000010,7,6,0,1.0,0.0,137.0,943.0,0.12685185185185185,2.0,64.0,False
transformer,cpr,0000010000010,7,7,0,1.0,0.0,136.0,944.0,0.1259259259259259,2.0,64.0,False
transformer,cpr,0000010000010,7,8,0,0.8,0.0,176.0,904.0,0.16296296296296298,2.0,64.0,False
transformer,cpr,0000010000010,7,9,0,0.0,0.0,180.0,900.0,0.16666666666666666,2.0,64.0,False
transformer,cpr,0000010000010,7,10,0,0.6,0.0,130.0,950.0,0.12037037037037036,2.0,64.0,False
transformer,cpr,0000010000010,7,11,1,0.0,42.0,999.0,81.0,0.925,2.0,64.0,False
transformer,cpr,0000010000010,7,12,0,1.0,0.0,114.0,966.0,0.10555555555555556,2.0,64.0,False
transformer,cpr,0000010000100,123,0,0,1.0,0.0,195.0,885.0,0.18055555555555555,2.0,84.0,True
transformer,cpr,0000010000100,123,1,0,1.0,0.0,85.0,995.0,0.0787037037037037,2.0,84.0,True
